Move Name,Power,Accuracy,type,move_description
detect,,,2,"No moves will hit the user for the remainder of this turn.  If the user is last to act this turn, this move will fail.

If the user successfully used detect, endure, protect, quick guard, or wide guard on the last turn, this move has a 50% chance to fail.

lock on, mind reader, and no guard provide a (100 � accuracy)% chance for moves to break through this move.  This does not apply to one-hit KO moves (fissure, guillotine, horn drill, and sheer cold); those are always blocked by this move.

thunder during rain dance and blizzard during hail have a 30% chance to break through this move.

The following effects are not prevented by this move:

* acupressure from an ally
* curse's curse effect
* Delayed damage from doom desire and future sight; however, these moves will be prevented if they are used this turn
* feint, which will also end this move's protection after it hits
* imprison
* perish song
* shadow force
* Moves that merely copy the user, such as transform or psych up

This move cannot be selected by assist or metronome."
bone-rush,25,90,5,"Inflicts regular damage.  Hits 2�5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use."
lock-on,,,1,"If the user targets the same target again before the end of the next turn, the move it uses is guaranteed to hit.  This move itself also ignores accuracy and evasion modifiers.

One-hit KO moves are also guaranteed to hit, as long as the user is equal or higher level than the target.  This effect also allows the user to hit Pok�mon that are off the field due to moves such as dig or fly.

If the target uses detect or protect while under the effect of this move, the user is not guaranteed to hit, but has a (100 - accuracy)% chance to break through the protection.

This effect is passed on by baton pass."
outrage,120,100,16,"Inflicts regular damage.  User is forced to attack with this move for 2�3 turns,selected at random.  After the last hit, the user becomes confused.

safeguard does not protect against the confusion from this move."
sandstorm,,,6,"Changes the weather to a sandstorm for five turns.  Pok�mon that are not ground, rock, or steel take 1/16 their max HP at the end of every turn.  Every rock Pok�mon's original Special Defense is raised by 50% for the duration of this effect.

solar beam's power is halved.

moonlight, morning sun, and synthesis only heal 1/4 the user's max HP."
giga-drain,75,100,12,Inflicts regular damage.  Drains half the damage inflicted to heal the user.
endure,,,1,"The user's HP cannot be lowered below 1 by any means for the remainder of this turn.

If the user successfully used detect, endure, protect, quick guard, or wide guard on the last turn, this move has a 50% chance to fail.

This move cannot be selected by assist or metronome."
charm,,100,18,Lowers the target's Attack by two stages.
rollout,30,90,6,"Inflicts regular damage.  User is forced to use this move for five turns.  Power doubles every time this move is used in succession to a maximum of 16x, and resets to normal after the lock-in ends.  If this move misses or becomes unusable, the lock-in ends.

If the user has used defense curl since entering the field, this move has double power."
false-swipe,40,100,1,Inflicts regular damage.  Will not reduce the target's HP below 1.
swagger,,85,1,"Raises the target's Attack by two stages, then confuses it.  If the target's Attack cannot be raised by two stages, the confusion is not applied."
milk-drink,,,1,Heals the user for half its max HP.
spark,65,100,13,Inflicts regular damage.  Has a 30% chance to paralyze the target.
fury-cutter,40,95,7,"Inflicts regular damage.  Power doubles after every time this move is used, whether consecutively or not, maxing out at 16x.  If this move misses or the user leaves the field, power resets."
steel-wing,70,90,9,Inflicts regular damage. Has a 10% chance to raise the user's Defense one stage.
mean-look,,,1,"The target cannot switch out normally.  Ignores accuracy and evasion modifiers.  This effect ends when the user leaves the field.

The target may still escape by using baton pass, u turn, or a shed shell.

Both the user and the target pass on this effect with baton pass."
attract,,100,1,"Causes the target to fall in love with the user, giving it a 50% chance to do nothing each turn.  If the user and target are the same gender, or either is genderless, this move will fail.  If either Pok�mon leaves the field, this effect ends."
sleep-talk,,,1,"Only usable if the user is sleeping.  Randomly selects and uses one of the user's other three moves.  Use of the selected move requires and costs 0 PP.

This move will not select assist, bide, bounce, chatter, copycat, dig, dive, fly, focus punch, me first, metronome, mirror move, shadow force, skull bash, sky attack, sky drop, sleep talk, solar beam, razor wind, or uproar.

If the selected move requires a recharge turn�i.e., one of blast burn, frenzy plant, giga impact, hydro cannon, hyper beam, roar of time, or rock wrecker�and the user is still sleeping next turn, then it's forced to use this move again and pay another PP for the recharge turn.

This move cannot be copied by mirror move, nor selected by assist, metronome, or sleep talk."
heal-bell,,,1,Removes major status effects and confusion from every Pok�mon in the user's party.
return,,100,1,"Inflicts regular damage.  Power increases with happiness, given by `happiness * 2 / 5`, to a maximum of 102.  Power bottoms out at 1."
present,,90,1,"Randomly uses one of the following effects.

Effect                                             | Chance
-------------------------------------------------- | -----:
Inflicts regular damage with 40 power  |    40%
Inflicts regular damage with 80 power  |    30%
Inflicts regular damage with 120 power |    10%
Heals the target for 1/4 its max HP    |    20%

On average, this move inflicts regular damage with 52 power and heals the target for 1/20 its max HP."
frustration,,100,1,"Inflicts regular damage.  Power increases inversely with happiness, given by `(255 - happiness) * 2 / 5`, to a maximum of 102.  Power bottoms out at 1."
safeguard,,,1,"Protects Pok�mon on the user's side of the field from major status effects and confusion for five turns.  Does not cancel existing ailments.  This effect remains even if the user leaves the field.

If yawn is used while this move is in effect, it will immediately fail.

defog used by an opponent will end this effect.

This effect does not prevent the confusion caused by outrage, petal dance, or thrash."
pain-split,,,1,"Changes the user's and target's remaining HP to the average of their current remaining HP.  Ignores accuracy and evasion modifiers.  This effect does not count as inflicting damage for other moves and effects that respond to damage taken.

This effect fails against a substitute."
sacred-fire,100,95,10,"Inflicts regular damage.  Has a 50% chance to burn the target.  Frozen Pok�mon may use this move, in which case they will thaw."
magnitude,,100,5,"Inflicts regular damage.  Power is selected at random between 10 and 150, with an average of 71:

Magnitude | Power | Chance
--------: | ----: | -----:
        4 |    10 |     5%
        5 |    30 |    10%
        6 |    50 |    20%
        7 |    70 |    30%
        8 |    90 |    20%
        9 |   110 |    10%
       10 |   150 |     5%

This move has double power against Pok�mon currently underground due to dig."
dynamic-punch,100,50,2,Inflicts regular damage.  Has a 100% chance to confuse the target.
megahorn,120,85,7,Inflicts regular damage.
dragon-breath,60,100,16,Inflicts regular damage.  Has a 30% chance to paralyze the target.
baton-pass,,,1,"User switches out, and the trainer selects a replacement Pok�mon from the party.  Stat changes, confusion, and persistent move effects are passed along to the replacement Pok�mon.

The following move effects are passed:

* aqua ring
* both the user's and target's effect of block, mean look, and spider web
* the curse effect of curse
* embargo
* focus energy or an activated lansat berry
* gastro acid
* ingrain
* being sapped by leech seed
* being targeted by lock on or mind reader
* magnet rise
* perish song's counter
* power trick
* substitute; the doll's HP is unchanged

The replacement Pok�mon does not trigger effects that respond to Pok�mon switching in."
encore,,100,1,"The next 4�8 times (selected at random) the target attempts to move, it is forced to repeat its last used move.  If the selected move allows the trainer to select a target, an opponent will be selected at random each turn.  If the target is prevented from using the selected move by some other effect, struggle will be used instead.  This effect ends if the selected move runs out of PP.

If the target hasn't used a move since entering the field, if it tried to use a move this turn and failed, if it does not know the selected move, or if the selected move has 0 PP remaining, this move will fail.  If the target's last used move was encore, mimic, mirror move, sketch, struggle, or transform, this move will fail."
pursuit,40,100,17,"Inflicts regular damage.  If the target attempts to switch out this turn before the user acts, this move hits the target before it leaves and has double power.

This effect can still hit a Pok�mon that switches out when it has a substitute up or when an ally has used follow me."
rapid-spin,50,100,1,"Inflicts regular damage.  Removes leech seed from the user, frees the user from bind, clamp, fire spin, magma storm, sand tomb, whirlpool, and wrap, and clears spikes, stealth rock, and toxic spikes from the user's side of the field.  If this move misses or has no effect, its effect doesn't activate."
sweet-scent,,100,1,Lowers the target's evasion by one stage.
iron-tail,100,75,9,Inflicts regular damage.  Has a 30% chance to lower the target's Defense by one stage.
metal-claw,50,95,9,Inflicts regular damage. Has a 10% chance to raise the user's Attack one stage.
vital-throw,70,,2,Inflicts regular damage.  Ignores accuracy and evasion modifiers.
morning-sun,,,1,"Heals the user for half its max HP.

During sunny day, the healing is increased to 2/3 max HP.

During hail, rain dance, or sandstorm, the healing is decreased to 1/4 max HP."
synthesis,,,12,"Heals the user for half its max HP.

During sunny day, the healing is increased to 2/3 max HP.

During hail, rain dance, or sandstorm, the healing is decreased to 1/4 max HP."
moonlight,,,18,"Heals the user for half its max HP.

During sunny day, the healing is increased to 2/3 max HP.

During hail, rain dance, or sandstorm, the healing is decreased to 1/4 max HP."
hidden-power,60,100,1,"Inflicts regular damage.  Power and type are determined by the user's IVs.

Power is given by `x * 40 / 63 + 30`.  `x` is obtained by arranging bit 1 from the IV for each of Special Defense, Special Attack, Speed, Defense, Attack, and HP in that order.  (Bit 1 is 1 if the IV is of the form `4n + 2` or `4n + 3`.  `x` is then 64 * Special Defense IV bit 1, plus 32 * Special Attack IV bit 1, etc.)

Power is always between 30 and 70, inclusive.  Average power is 49.5.

Type is given by `y * 15 / 63`, where `y` is similar to `x` above, except constructed from bit 0.  (Bit 0 is 1 if the IV is odd.)  The result is looked up in the following table.

Value | Type
----: | --------
    0 | fighting
    1 | flying
    2 | poison
    3 | ground
    4 | rock
    5 | bug
    6 | ghost
    7 | steel
    8 | fire
    9 | water
   10 | grass
   11 | electric
   12 | psychic
   13 | ice
   14 | dragon
   15 | dark

This move thus cannot be normal.  Most other types have an equal 1/16 chance to be selected, given random IVs.  However, due to the flooring used here, bug, fighting, and grass appear 5/64 of the time, and dark only 1/64 of the time."
cross-chop,100,80,2,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.
twister,40,100,16,"Inflicts regular damage.  Has a 20% chance to make each target flinch.

If the target is under the effect of bounce, fly, or sky drop, this move will hit with double power."
rain-dance,,,11,"Changes the weather to rain for five turns, during which water moves inflict 50% extra damage, and fire moves inflict half damage.

If the user is holding damp rock, this effect lasts for eight turns.

thunder has 100% accuracy.  If the target has used detect or protect, thunder has a (100 - accuracy)% chance to break through the protection.

solar beam has half power.

moonlight, morning sun, and synthesis heal only 1/4 of the user's max HP.

Pok�mon with swift swim have doubled original Speed.

Pok�mon with forecast become water.

Pok�mon with dry skin heal 1/8 max HP, Pok�mon with hydration are cured of major status effects, and Pok�mon with rain dish heal 1/16 max HP at the end of each turn."
sunny-day,,,10,"Changes the weather to sunshine for five turns, during which fire moves inflict 50% extra damage, and water moves inflict half damage.

If the user is holding heat rock, this effect lasts for eight turns.

Pok�mon cannot become frozen.

thunder has 50% accuracy.

solar beam skips its charge turn.

moonlight, morning sun, and synthesis heal 2/3 of the user's max HP.

Pok�mon with chlorophyll have doubled original Speed.

Pok�mon with forecast become fire.

Pok�mon with leaf guard are not affected by major status effects.

Pok�mon with flower gift change form; every Pok�mon on their side of the field have their original Attack and Special Attack increased by 50%.

Pok�mon with dry skin lose 1/8 max HP at the end of each turn.

Pok�mon with solar power have their original Special Attack raised by 50% but lose 1/8 their max HP at the end of each turn."
crunch,80,100,17,Inflicts regular damage.  Has a 20% chance to lower the target's Defense by one stage.
mirror-coat,,100,14,"Targets the last opposing Pok�mon to hit the user with a special move this turn.  Inflicts twice the damage that move did to the user.  If there is no eligible target, this move will fail.  Type immunity applies, but other type effects are ignored.

This move cannot be copied by mirror move, nor selected by assist or metronome."
psych-up,,,1,"Discards the user's stat changes and copies the target's.

This move cannot be copied by mirror move."
extreme-speed,80,100,1,Inflicts regular damage.
ancient-power,60,100,6,Inflicts regular damage. Has a 10% chance to raise all of the user's stats one stage.
shadow-ball,80,100,8,Inflicts regular damage.  Has a 20% chance to lower the target's Special Defense by one stage.
future-sight,120,100,14,"Inflicts typeless regular damage at the end of the third turn, starting with this one.  This move cannot score a critical hit.  If the target switches out, its replacement will be hit instead.  Damage is calculated at the time this move is used; stat changes and switching out during the delay won't change the damage inflicted.  No move with this effect can be used against the same target again until after the end of the third turn.

This effect breaks through wonder guard.

If the target is protected by protect or detect on the turn this move is used, this move will fail.  However, the damage on the third turn will break through protection.

The damage is applied at the end of the turn, so it ignores endure and focus sash.

This move cannot be copied by mirror move."
rock-smash,40,100,2,Inflicts regular damage.  Has a 50% chance to lower the target's Defense by one stage.
whirlpool,35,85,11,"Inflicts regular damage.  For the next 2�5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

If the target is in the first turn of dive, this move will hit with double power."
beat-up,,100,17,"Inflicts typeless regular damage.  Every Pok�mon in the user's party, excepting those that have fainted or have a major status effect, attacks the target.  Calculated stats are ignored; the base stats for the target and assorted attackers are used instead.  The random factor in the damage formula is not used.  dark Pok�mon still get STAB.

This effect breaks through wonder guard."
fake-out,40,100,1,Inflicts regular damage.  Causes the target to flinch.  Can only be used on the user's first turn after entering the field.
uproar,90,100,1,"Inflicts regular damage.  User is forced to use this move for 2�5 turns, selected at random.  All Pok�mon on the field wake up, and none can fall to sleep until the lock-in ends.

Pok�mon cannot use rest during this effect.

This move cannot be selected by sleep talk."
stockpile,,,1,"Raises the user's Defense and Special Defense by one stage each.  Stores energy for use with spit up and swallow.  Up to three levels of energy can be stored, and all are lost if the user leaves the field.  Energy is still stored even if the stat boosts cannot be applied.

If the user uses baton pass, the stat boosts are passed as normal, but the stored energy is not."
spit-up,,100,1,"Inflicts regular damage.  Power is equal to 100 times the amount of energy stored by stockpile.  Ignores the random factor in the damage formula.  Stored energy is consumed, and the user's Defense and Special Defense are reset to what they would be if stockpile had not been used.  If the user has no energy stored, this move will fail.

This move cannot be copied by mirror move."
swallow,,,1,"Heals the user depending on the amount of energy stored by stockpile: 1/4 its max HP after one use, 1/2 its max HP after two uses, or fully after three uses.  Stored energy is consumed, and the user's Defense and Special Defense are reset to what they would be if stockpile had not been used.  If the user has no energy stored, this move will fail."
heat-wave,95,90,10,Inflicts regular damage.  Has a 10% chance to burn the target.
hail,,,15,"Changes the weather to hail for five turns, during which non-ice Pok�mon are damaged for 1/16 their max HP at the end of every turn.

If the user is holding icy rock, this effect lasts for eight turns.

blizzard has 100% accuracy.  If the target has used detect or protect, blizzard has a (100 - accuracy)% chance to break through the protection.

moonlight, morning sun, and synthesis heal only 1/4 of the user's max HP.

Pok�mon with snow cloak are exempt from this effect's damage."
torment,,100,17,"Prevents the target from attempting to use the same move twice in a row.  When the target leaves the field, this effect ends.

If the target is forced to attempt a repeated move due to choice band, choice scarf, choice specs, disable, encore, taunt, only having PP remaining for one move, or any other effect, the target will use struggle instead.  The target is then free to use the forced move next turn, as it didn't use that move this turn."
flatter,,100,17,"Raises the target's Special Attack by one stage, then confuses it."
will-o-wisp,,85,10,Burns the target.
memento,,100,17,Lowers the target's Attack and Special Attack by two stages.  User faints.
facade,70,100,1,"Inflicts regular damage.  If the user is burned, paralyzed, or poisoned, this move has double power."
focus-punch,150,100,2,"Inflicts regular damage.  If the user takes damage this turn before hitting, this move will fail.

This move cannot be copied by mirror move, nor selected by assist, metronome, or sleep talk."
smelling-salts,70,100,1,"Inflicts regular damage.  If the target is paralyzed, this move has double power, and the target is cured of its paralysis."
follow-me,,,1,"Until the end of this turn, any moves that opposing Pok�mon target solely at the user's ally will instead target the user.  If both Pok�mon on the same side of the field use this move on the same turn, the Pok�mon that uses it last will become the target.

This effect takes priority over lightning rod and storm drain.

If the user's ally switches out, opposing Pok�mon may still hit it with pursuit.

This move cannot be selected by assist or metronome."
nature-power,,,1,"Uses another move chosen according to the terrain.

Terrain                   | Selected move
------------------------- | ------------------
Building                  | tri attack
Cave                      | rock slide
Deep water                | hydro pump
Desert                    | earthquake
Grass                     | seed bomb
Mountain                  | rock slide
Road                      | earthquake
Shallow water             | hydro pump
Snow                      | blizzard
Tall grass                | seed bomb
electric terrain | thunderbolt
grassy terrain   | energy ball
misty terrain    | moonblast

In Pok�mon Battle Revolution:

Terrain        | Selected move
-------------- | ------------------
Courtyard      | tri attack
Crystal        | rock slide
Gateway        | hydro pump
Magma          | rock slide
Main Street    | tri attack
Neon           | tri attack
Stargazer      | rock slide
Sunny Park     | seed bomb
Sunset         | earthquake
Waterfall      | seed bomb

This move cannot be copied by mirror move."
charge,,,13,"Raises the user's Special Defense by one stage.  If the user uses an electric move next turn, its power will be doubled."
taunt,,100,17,"Target is forced to only use damaging moves for the next 3�5 turns, selected at random.  Moves that select other moves not known in advance do not count as damaging.

assist, copycat, me first, metronome, mirror move, and sleep talk do not directly inflict damage and thus may not be used.

bide, counter, endeavor, metal burst, and mirror coat are allowed."
helping-hand,,,1,"Boosts the power of the target's moves by 50% until the end of this turn.

This move cannot be copied by mirror move, nor selected by assist or metronome."
trick,,100,14,"User and target permanently swap held items.  Works even if one of the Pok�mon isn't holding anything.  If either Pok�mon is holding mail, this move will fail.

If either Pok�mon has multitype or sticky hold, this move will fail.

If this move results in a Pok�mon obtaining choice band, choice scarf, or choice specs, and that Pok�mon was the latter of the pair to move this turn, then the move it used this turn becomes its chosen forced move.  This applies even if both Pok�mon had a choice item before this move was used.  If the first of the two Pok�mon gains a choice item, it may select whatever choice move it wishes next turn.

Neither the user nor the target can recover its item with recycle.

This move cannot be selected by assist or metronome."
role-play,,,14,"User's ability is replaced with the target's until the user leaves the field.  Ignores accuracy and evasion modifiers.

If the target has flower gift, forecast, illusion, imposter, multitype, stance change, trace, wonder guard, or zen mode, this move will fail.

This move cannot be copied by mirror move."
wish,,,1,"At the end of the next turn, user will be healed for half its max HP.  If the user is switched out, its replacement will be healed instead for half of the user's max HP.  If the user faints or is forcefully switched by roar or whirlwind, this effect will not activate."
assist,,,1,"Uses a move from another Pok�mon in the user's party, both selected at random.  Moves from fainted Pok�mon can be used.  If there are no eligible Pok�mon or moves, this move will fail.

This move will not select assist, chatter, circle throw, copycat, counter, covet, destiny bond, detect, dig, dive, dragon tail, endure, feint, fly focus punch, follow me, helping hand, me first, metronome, mimic, mirror coat, mirror move, phantom force protect, quick guard, roar shadow force, sketch, sleep talk, snatch, struggle, switcheroo, thief, trick, whirlwind, or wide guard.

This move cannot be copied by mirror move, nor selected by metronome or sleep talk."
ingrain,,,12,"Prevents the user from switching out.  User regains 1/16 of its max HP at the end of every turn.  If the user was immune to ground attacks, it will now take normal damage from them.

roar and whirlwind will not affect the user.  The user cannot use magnet rise.

The user may still use u turn to leave the field.

This effect can be passed with baton pass."
superpower,120,100,2,"Inflicts regular damage, then lowers the user's Attack and Defense by one stage each."
magic-coat,,,14,"The first non-damaging move targeting the user this turn that inflicts major status effects, stat changes, or trapping effects will be reflected at its user.

defog, memento, and teeter dance are not reflected.

attract, flatter, gastro acid, leech seed, swagger, worry seed, and yawn are reflected.

This move cannot be copied by mirror move."
recycle,,,1,"User recovers the last item consumed by the user or a Pok�mon in its position on the field.  The item must be used again before it can be recovered by this move again.  If the user is holding an item, this move fails.

Items taken or given away by covet, knock off, switcheroo, thief, or trick may not be recovered."
revenge,60,100,2,"Inflicts regular damage.  If the target damaged the user this turn and was the last to do so, this move has double power.

pain split does not count as damaging the user."
brick-break,75,100,2,"Destroys any light screen or reflect on the target's side of the field, then inflicts regular damage."
yawn,,,1,"Puts the target to sleep at the end of the next turn.  Ignores accuracy and evasion modifiers.  If the target leaves the field, this effect is canceled.  If the target has a status effect when this move is used, this move will fail.

If the target is protected by safeguard when this move is used, this move will fail.

insomnia and vital spirit prevent the sleep if the target has either at the end of the next turn, but will not cause this move to fail on use."
knock-off,65,100,17,"Inflicts regular damage.  Target loses its held item.

Neither the user nor the target can recover its item with recycle.

If the target has multitype or sticky hold, it will take damage but not lose its item."
endeavor,,100,1,"Inflicts exactly enough damage to lower the target's HP to equal the user's.  If the target's HP is not higher than the user's, this move has no effect.  Type immunity applies, but other type effects are ignored.  This effect counts as damage for moves that respond to damage."
eruption,150,100,10,"Inflicts regular damage.  Power increases with the user's remaining HP and is given by `150 * HP / max HP`, to a maximum of 150 when the user has full HP."
skill-swap,,,14,"User and target switch abilities.  Ignores accuracy and evasion modifiers.

If either Pok�mon has multitype or wonder guard, this move will fail."
imprison,,,14,"Prevents any Pok�mon on the opposing side of the field from using any move the user knows until the user leaves the field.  This effect is live; if the user obtains new moves while on the field, these moves become restricted.  If no opposing Pok�mon knows any of the user's moves when this move is used, this move will fail."
refresh,,,1,"Removes a burn, paralysis, or poison from the user."
grudge,,,8,"If the user faints before it next acts, the move that fainted it will have its PP dropped to 0.  End-of-turn damage does not trigger this effect."
snatch,,,17,"The next time a Pok�mon uses a beneficial move on itself or itself and its ally this turn, the user of this move will steal the move and use it itself.  Moves which may be stolen by this move are identified by the ""snatchable"" flag.

If two Pok�mon use this move on the same turn, the faster Pok�mon will steal the first beneficial move, and the slower Pok�mon will then steal it again�thus, only the slowest Pok�mon using this move ultimately gains a stolen move's effect.

If the user steals psych up, it will target the Pok�mon that used psych up.  If the user was the original target of psych up, and the Pok�mon that originally used it's affected by pressure, it will only lose 1 PP.

This move cannot be copied by mirror move, nor selected by assist or metronome."
secret-power,70,100,1,"Inflicts regular damage.  Has a 30% chance to inflict an effect chosen according to the terrain.

Terrain        | Effect
-------------- | -------------------------------------------------------------
Building       | Paralyzes target
Cave           | Makes target flinch
Deep water     | Lowers target's Attack by one stage
Desert         | Lowers target's accuracy by one stage
Grass          | Puts target to sleep
Mountain       | Makes target flinch
Road           | Lowers target's accuracy by one stage
Shallow water  | Lowers target's Attack by one stage
Snow           | Freezes target
Tall grass     | Puts target to sleep

In Pok�mon Battle Revolution:

Terrain        | Effect
-------------- | -------------------------------------------------------------
Courtyard      | Paralyzes target
Crystal        | Makes target flinch
Gateway        | Lowers target's Attack by one stage
Magma          | Makes target flinch
Main Street    | Paralyzes target
Neon           | Paralyzes target
Stargazer      | Makes target flinch
Sunny Park     | Puts target to sleep
Sunset         | Lowers target's accuracy by one stage
Waterfall      | Puts target to sleep
"
dive,80,100,11,"Inflicts regular damage.  User dives underwater for one turn, becoming immune to attack, and hits on the second turn.

During the immune turn, surf, and whirlpool still hit the user normally, and their power is doubled if appropriate.

The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.

This move cannot be selected by sleep talk."
arm-thrust,15,100,2,"Inflicts regular damage.  Hits 2�5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use."
camouflage,,,1,"User's type changes according to the terrain.

Terrain        | New type
-------------- | --------------
Building       | normal
Cave           | rock
Desert         | ground
Grass          | grass
Mountain       | rock
Ocean          | water
Pond           | water
Road           | ground
Snow           | ice
Tall grass     | grass

In Pok�mon Battle Revolution:

Terrain        | New type
-------------- | --------------
Courtyard      | normal
Crystal        | rock
Gateway        | water
Magma          | rock
Main Street    | normal
Neon           | normal
Stargazer      | rock
Sunny Park     | grass
Sunset         | ground
Waterfall      | grass
"
tail-glow,,,7,Raises the user's Special Attack by three stages.
luster-purge,95,100,14,Inflicts regular damage.  Has a 50% chance to lower the target's Special Defense by one stage.
mist-ball,95,100,14,Inflicts regular damage.  Has a 50% chance to lower the target's Special Attack by one stage.
feather-dance,,100,3,Lowers the target's Attack by two stages.
teeter-dance,,100,1,Confuses all targets.
blaze-kick,85,90,10,Inflicts regular damage.  User's critical hit rate is one level higher when using this move. Has a 10% chance to burn the target.
mud-sport,,,5,"electric moves inflict half damage, regardless of target.  If the user leaves the field, this effect ends."
ice-ball,30,90,15,"Inflicts regular damage.  User is forced to use this move for five turns.  Power doubles every time this move is used in succession to a maximum of 16x, and resets to normal after the lock-in ends.  If this move misses or becomes unusable, the lock-in ends.

If the user has used defense curl since entering the field, this move has double power."
needle-arm,60,100,12,Inflicts regular damage.  Has a 30% chance to make the target flinch.
slack-off,,,1,Heals the user for half its max HP.
hyper-voice,90,100,1,Inflicts regular damage.
poison-fang,50,100,4,Inflicts regular damage.  Has a 50% chance to badly poison the target.
crush-claw,75,95,1,Inflicts regular damage.  Has a 50% chance to lower the target's Defense by one stage.
blast-burn,150,90,10,"Inflicts regular damage.  User loses its next turn to ""recharge"", and cannot attack or switch out during that turn."
hydro-cannon,150,90,11,"Inflicts regular damage.  User loses its next turn to ""recharge"", and cannot attack or switch out during that turn."
meteor-mash,90,90,9,Inflicts regular damage. Has a 20% chance to raise the user's Attack one stage.
astonish,30,100,8,Inflicts regular damage.  Has a 30% chance to make the target flinch.
weather-ball,50,100,1,"Inflicts regular damage.  If a weather move is active, this move has double power, and its type becomes the type of the weather move.  shadow sky is typeless for the purposes of this move."
aromatherapy,,,12,Removes major status effects and confusion from every Pok�mon in the user's party.
fake-tears,,100,17,Lowers the target's Special Defense by two stages.
air-cutter,60,95,3,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.
overheat,130,90,10,"Inflicts regular damage, then lowers the user's Special Attack by two stages."
odor-sleuth,,,1,Resets the target's evasion to normal and prevents any further boosting until the target leaves the field.  A ghost under this effect takes normal damage from normal and fighting moves.  This move itself ignores accuracy and evasion modifiers.
rock-tomb,60,95,6,Inflicts regular damage.  Has a 100% chance to lower the target's Speed by one stage.
silver-wind,60,100,7,Inflicts regular damage. Has a 10% chance to raise all of the user's stats one stage.
metal-sound,,85,9,Lowers the target's Special Defense by two stages.
grass-whistle,,55,12,Puts the target to sleep.
tickle,,100,1,Lowers the target's Attack and Defense by one stage.
cosmic-power,,,14,Raises the user's Defense and Special Defense by one stage.
water-spout,150,100,11,"Inflicts regular damage.  Power increases with the user's remaining HP and is given by `150 * HP / max HP`, to a maximum of 150 when the user has full HP."
signal-beam,75,100,7,Inflicts regular damage.  Has a 10% chance to confuse the target.
shadow-punch,60,,8,Inflicts regular damage.  Ignores accuracy and evasion modifiers.
extrasensory,80,100,14,Inflicts regular damage.  Has a 10% chance to make the target flinch.
sky-uppercut,85,90,2,"Inflicts regular damage.

This move can hit Pok�mon under the effect of bounce, fly, or sky drop."
sand-tomb,35,85,5,"Inflicts regular damage.  For the next 2�5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect."
sheer-cold,,30,15,"Inflicts damage equal to the target's max HP.  Ignores accuracy and evasion modifiers.  This move's accuracy is 30% plus 1% for each level the user is higher than the target.  If the user is a lower level than the target, this move will fail.

Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting.

The effects of lock on, mind reader, and no guard still apply, as long as the user is equal or higher level than the target.  However, they will not give this move a chance to break through detect or protect."
muddy-water,90,85,11,Inflicts regular damage.  Has a 30% chance to lower the target's accuracy by one stage.
bullet-seed,25,100,12,"Inflicts regular damage.  Hits 2�5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use."
aerial-ace,60,,3,Inflicts regular damage.  Ignores accuracy and evasion modifiers.
icicle-spear,25,100,15,"Inflicts regular damage.  Hits 2�5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use."
iron-defense,,,9,Raises the user's Defense by two stages.
block,,,1,"The target cannot switch out normally.  Ignores accuracy and evasion modifiers.  This effect ends when the user leaves the field.

The target may still escape by using baton pass, u turn, or a shed shell.

Both the user and the target pass on this effect with baton pass."
howl,,,1,Raises the user's Attack by one stage.
dragon-claw,80,100,16,Inflicts regular damage.
frenzy-plant,150,90,12,"Inflicts regular damage.  User loses its next turn to ""recharge"", and cannot attack or switch out during that turn."
bulk-up,,,2,Raises the user's Attack and Defense by one stage each.
bounce,85,85,3,"Inflicts regular damage.  User bounces high into the air for one turn, becoming immune to attack, and hits on the second turn.  Has a 30% chance to paralyze the target.

During the immune turn, gust, hurricane, sky uppercut, smack down, thunder, and twister still hit the user normally.  gust and twister also have double power against the user.

The damage from hail and sandstorm still applies during the immune turn.

The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.

This move cannot be used while gravity is in effect.

This move cannot be selected by sleep talk."
mud-shot,55,95,5,Inflicts regular damage.  Has a 100% chance to lower the target's Speed by one stage.
poison-tail,50,100,4,Inflicts regular damage.  User's critical hit rate is one level higher when using this move. Has a 10% chance to poison the target.
